node_type_id ei morphology model_template model_processing model_type model_name
100 i Sst-IRES-Cre;Ai14-167638.05.02.01_501934125_m nml:Cell_497229152.cell.nml aibs_perisomatic biophysical 497229152_all-active
101 i Sst-IRES-Cre;Ai14-167636.04.01.01_491119515_m nml:Cell_497229145.cell.nml aibs_perisomatic biophysical 497229145_all-active
102 i Rorb-IRES2-Cre-D;Ai14-168052.03.02.01_491770140_m nml:Cell_497229138.cell.nml aibs_perisomatic biophysical 497229138_all-active
103 i Rorb-IRES2-Cre-D;Ai14-168053.06.01.01_495334938_m nml:Cell_497229124.cell.nml aibs_perisomatic biophysical 497229124_all-active
104 i Scnn1a-Tg3-Cre;Ai14-168093.03.02.01_491119592_m nml:Cell_497229117.cell.nml aibs_perisomatic biophysical 497229117_all-active
105 i Pvalb-IRES-Cre;Ai14-169125.03.01.01_491119617_m nml:Cell_497229103.cell.nml aibs_perisomatic biophysical 497229103_all-active
106 i Nr5a1-Cre;Ai14-169250.03.02.01_491119754_m nml:Cell_497229089.cell.nml aibs_perisomatic biophysical 497229089_all-active
107 i Scnn1a-Tg3-Cre;Ai14-170426.03.01.01_491392845_m nml:Cell_497229082.cell.nml aibs_perisomatic biophysical 497229082_all-active
108 i Scnn1a-Tg2-Cre;Ai14-171062.06.02.01_491119500_m nml:Cell_497229075.cell.nml aibs_perisomatic biophysical 497229075_all-active
109 i Nr5a1-Cre;Ai14-172512.05.01.01_495334973_m nml:Cell_497229061.cell.nml aibs_perisomatic biophysical 497229061_all-active
110 i Nr5a1-Cre;Ai14-172512.06.02.01_491120144_m nml:Cell_497229054.cell.nml aibs_perisomatic biophysical 497229054_all-active
111 i Gad2-IRES-Cre;Ai14-172679.05.01.01_491119788_m nml:Cell_497230620.cell.nml aibs_perisomatic biophysical 497230620_all-active
112 i Scnn1a-Tg3-Cre;Ai14-172530.03.01.01_491771137_m nml:Cell_497230611.cell.nml aibs_perisomatic biophysical 497230611_all-active
113 i Sst-IRES-Cre;Ai14-173191.06.02.01_491119812_m nml:Cell_497230567.cell.nml aibs_perisomatic biophysical 497230567_all-active
114 i Sst-IRES-Cre;Ai14-173196.03.01.01_491770223_m nml:Cell_497230547.cell.nml aibs_perisomatic biophysical 497230547_all-active
115 i Htr3a-Cre_491119419_m nml:Cell_497230511.cell.nml aibs_perisomatic biophysical 497230511_all-active
116 i Pvalb-IRES-Cre;Ai14-176847.04.02.01_491120133_m nml:Cell_497230497.cell.nml aibs_perisomatic biophysical 497230497_all-active
117 i Pvalb-IRES-Cre;Ai14-176848.03.01.01_491119484_m nml:Cell_497230490.cell.nml aibs_perisomatic biophysical 497230490_all-active
118 i Pvalb-IRES-Cre;Ai14-178310.02.01.01_513557093_m nml:Cell_497230463.cell.nml aibs_perisomatic biophysical 497230463_all-active
119 i Scnn1a-Tg2-Cre;Ai14-176962.05.01.01_495335447_m nml:Cell_497233307.cell.nml aibs_perisomatic biophysical 497233307_all-active
120 i Nr5a1-Cre;Ai14-177333.03.01.01_491771090_m nml:Cell_497233292.cell.nml aibs_perisomatic biophysical 497233292_all-active
121 i Nr5a1-Cre;Ai14-177334.05.01.01_491459171_m nml:Cell_497233285.cell.nml aibs_perisomatic biophysical 497233285_all-active
122 i Nr5a1-Cre;Ai14-177334.05.02.01_527109106_m nml:Cell_527109578.cell.nml aibs_perisomatic biophysical 527109578_all-active
123 i Scnn1a-Tg3-Cre;Ai14-177300.01.02.01_491771068_m nml:Cell_497233278.cell.nml aibs_perisomatic biophysical 497233278_all-active
124 i Pvalb-IRES-Cre;Ai14-177452.03.02.01_491119336_m nml:Cell_497233271.cell.nml aibs_perisomatic biophysical 497233271_all-active
125 i Gad2-IRES-Cre;Ai14-177637.02.02.01_491771124_m nml:Cell_497233264.cell.nml aibs_perisomatic biophysical 497233264_all-active
126 i Nr5a1-Cre;Ai14-178521.04.02.01_492100683_m nml:Cell_497233244.cell.nml aibs_perisomatic biophysical 497233244_all-active
127 i Htr3a-Cre_491120333_m nml:Cell_497233230.cell.nml aibs_perisomatic biophysical 497233230_all-active
128 i Sst-IRES-Cre;Ai14-165865.03.01.01_491119181_m nml:Cell_497233223.cell.nml aibs_perisomatic biophysical 497233223_all-active
129 i Sst-IRES-Cre;Ai14-165865.05.02.01_491119537_m nml:Cell_497233216.cell.nml aibs_perisomatic biophysical 497233216_all-active
130 i Sst-IRES-Cre;Ai14-179870.04.01.01_491120344_m nml:Cell_497233162.cell.nml aibs_perisomatic biophysical 497233162_all-active
131 i Scnn1a-Tg3-Cre;Ai14-177297.05.02.01_495335458_m nml:Cell_497233139.cell.nml aibs_perisomatic biophysical 497233139_all-active
132 i Scnn1a-Tg3-Cre;Ai14-177297.06.01.01_491120155_m nml:Cell_497233125.cell.nml aibs_perisomatic biophysical 497233125_all-active
133 i Pvalb-IRES-Cre;Ai14-177452.03.01.01_491120251_m nml:Cell_497233117.cell.nml aibs_perisomatic biophysical 497233117_all-active
134 i Htr3a-Cre_491120305_m nml:Cell_497233110.cell.nml aibs_perisomatic biophysical 497233110_all-active
135 i Pvalb-IRES-Cre;Ai14-172096.04.02.01_491119732_m nml:Cell_497233089.cell.nml aibs_perisomatic biophysical 497233089_all-active
136 i Pvalb-IRES-Cre;Ai14-180633.05.01.01_491119234_m nml:Cell_497233075.cell.nml aibs_perisomatic biophysical 497233075_all-active
137 i Pvalb-IRES-Cre;Ai14-180633.04.01.01_491771159_m nml:Cell_497233068.cell.nml aibs_perisomatic biophysical 497233068_all-active
138 i Pvalb-IRES-Cre;Ai14-180634.04.01.01_495335480_m nml:Cell_497233061.cell.nml aibs_perisomatic biophysical 497233061_all-active
139 i Rbp4-Cre_495335491_m nml:Cell_497233049.cell.nml aibs_perisomatic biophysical 497233049_all-active
140 i Rorb-IRES2-Cre-D;Ai14-181710.05.02.01_491771275_m nml:Cell_497232985.cell.nml aibs_perisomatic biophysical 497232985_all-active
141 i Sst-IRES-Cre;Ai14-182533.03.01.01_491770708_m nml:Cell_497232978.cell.nml aibs_perisomatic biophysical 497232978_all-active
142 i Rorb-IRES2-Cre-D;Ai14-181715.04.01.01_491392833_m nml:Cell_497232946.cell.nml aibs_perisomatic biophysical 497232946_all-active
143 i Htr3a-Cre_492100793_m nml:Cell_497232939.cell.nml aibs_perisomatic biophysical 497232939_all-active
144 i Htr3a-Cre_491119305_m nml:Cell_497232932.cell.nml aibs_perisomatic biophysical 497232932_all-active
145 i Htr3a-Cre_491120373_m nml:Cell_497232925.cell.nml aibs_perisomatic biophysical 497232925_all-active
146 i Sst-IRES-Cre;Ai14-183332.05.01.01_491771290_m nml:Cell_497232918.cell.nml aibs_perisomatic biophysical 497232918_all-active
147 i Sst-IRES-Cre;Ai14-183332.06.02.01_495889919_m nml:Cell_497232911.cell.nml aibs_perisomatic biophysical 497232911_all-active
148 i Htr3a-Cre_492100857_m nml:Cell_497232880.cell.nml aibs_perisomatic biophysical 497232880_all-active
149 i Htr3a-Cre_491119960_m nml:Cell_497232872.cell.nml aibs_perisomatic biophysical 497232872_all-active
150 i Htr3a-Cre_491119938_m nml:Cell_497232865.cell.nml aibs_perisomatic biophysical 497232865_all-active
151 i Htr3a-Cre_492413499_m nml:Cell_497232858.cell.nml aibs_perisomatic biophysical 497232858_all-active
152 i Pvalb-IRES-Cre;Ai14-187029.03.02.01_491119916_m nml:Cell_497232848.cell.nml aibs_perisomatic biophysical 497232848_all-active
153 i Rorb-IRES2-Cre-D;Ai14-187416.05.01.01_491796267_m nml:Cell_497232839.cell.nml aibs_perisomatic biophysical 497232839_all-active
154 i Sst-IRES-Cre;Ai14-187427.04.01.01_491119894_m nml:Cell_497232791.cell.nml aibs_perisomatic biophysical 497232791_all-active
155 i Scnn1a-Tg3-Cre;Ai14-187852.04.02.01_484775243_m nml:Cell_497232735.cell.nml aibs_perisomatic biophysical 497232735_all-active
156 i Nr5a1-Cre;Ai14-187780.03.02.01_491253858_m nml:Cell_497232692.cell.nml aibs_perisomatic biophysical 497232692_all-active
157 i Sst-IRES-Cre;Ai14-188740.03.02.01_491119369_m nml:Cell_497232660.cell.nml aibs_perisomatic biophysical 497232660_all-active
158 i Slc17a6-IRES-Cre;Ai14-190263.04.01.01_491392956_m nml:Cell_497232641.cell.nml aibs_perisomatic biophysical 497232641_all-active
159 i Slc17a6-IRES-Cre;Ai14-190263.06.01.01_491771398_m nml:Cell_497232629.cell.nml aibs_perisomatic biophysical 497232629_all-active
160 i Pvalb-IRES-Cre;Ai14-191322.04.02.01_491119269_m nml:Cell_497232617.cell.nml aibs_perisomatic biophysical 497232617_all-active
161 i Htr3a-Cre_491119743_m nml:Cell_496930419.cell.nml aibs_perisomatic biophysical 496930419_all-active
162 i Htr3a-Cre_491771409_m nml:Cell_497232593.cell.nml aibs_perisomatic biophysical 497232593_all-active
163 i Sst-IRES-Cre;Ai14-192340.03.01.01_491119721_m nml:Cell_497232585.cell.nml aibs_perisomatic biophysical 497232585_all-active
164 i Rorb-IRES2-Cre-D;Ai14-192794.05.01.01_492413653_m nml:Cell_497232571.cell.nml aibs_perisomatic biophysical 497232571_all-active
165 i Rorb-IRES2-Cre-D;Ai14-194322.05.02.01_492413664_m nml:Cell_497232564.cell.nml aibs_perisomatic biophysical 497232564_all-active
166 i Pvalb-IRES-Cre;Ai14-195045.05.02.01_491119688_m nml:Cell_497232557.cell.nml aibs_perisomatic biophysical 497232557_all-active
167 i Rorb-IRES2-Cre-D;Ai14-194017.03.01.01_491770945_m nml:Cell_497232507.cell.nml aibs_perisomatic biophysical 497232507_all-active
168 i Htr3a-Cre_491119581_m nml:Cell_497232492.cell.nml aibs_perisomatic biophysical 497232492_all-active
169 i Rorb-IRES2-Cre-D;Ai14-197353.06.02.01_496079587_m nml:Cell_496930324.cell.nml aibs_perisomatic biophysical 496930324_all-active
170 i Rorb-IRES2-Cre-D;Ai14-197851.04.01.01_491770985_m nml:Cell_497232429.cell.nml aibs_perisomatic biophysical 497232429_all-active
171 i Rorb-IRES2-Cre-D;Ai14-197851.05.02.01_492413372_m nml:Cell_497232419.cell.nml aibs_perisomatic biophysical 497232419_all-active
