node_type_id model_name model_type ei model_template morphology model_processing
100 497229152_all-active biophysical i nml:Cell_497229152.cell.nml Sst-IRES-Cre;Ai14-167638.05.02.01_501934125_m aibs_perisomatic
101 497229145_all-active biophysical i nml:Cell_497229145.cell.nml Sst-IRES-Cre;Ai14-167636.04.01.01_491119515_m aibs_perisomatic
102 497229138_all-active biophysical i nml:Cell_497229138.cell.nml Rorb-IRES2-Cre-D;Ai14-168052.03.02.01_491770140_m aibs_perisomatic
103 497229124_all-active biophysical i nml:Cell_497229124.cell.nml Rorb-IRES2-Cre-D;Ai14-168053.06.01.01_495334938_m aibs_perisomatic
104 497229117_all-active biophysical i nml:Cell_497229117.cell.nml Scnn1a-Tg3-Cre;Ai14-168093.03.02.01_491119592_m aibs_perisomatic
105 497229103_all-active biophysical i nml:Cell_497229103.cell.nml Pvalb-IRES-Cre;Ai14-169125.03.01.01_491119617_m aibs_perisomatic
106 497229089_all-active biophysical i nml:Cell_497229089.cell.nml Nr5a1-Cre;Ai14-169250.03.02.01_491119754_m aibs_perisomatic
107 497229082_all-active biophysical i nml:Cell_497229082.cell.nml Scnn1a-Tg3-Cre;Ai14-170426.03.01.01_491392845_m aibs_perisomatic
108 497229075_all-active biophysical i nml:Cell_497229075.cell.nml Scnn1a-Tg2-Cre;Ai14-171062.06.02.01_491119500_m aibs_perisomatic
109 497229061_all-active biophysical i nml:Cell_497229061.cell.nml Nr5a1-Cre;Ai14-172512.05.01.01_495334973_m aibs_perisomatic
110 497229054_all-active biophysical i nml:Cell_497229054.cell.nml Nr5a1-Cre;Ai14-172512.06.02.01_491120144_m aibs_perisomatic
111 497230620_all-active biophysical i nml:Cell_497230620.cell.nml Gad2-IRES-Cre;Ai14-172679.05.01.01_491119788_m aibs_perisomatic
112 497230611_all-active biophysical i nml:Cell_497230611.cell.nml Scnn1a-Tg3-Cre;Ai14-172530.03.01.01_491771137_m aibs_perisomatic
113 497230567_all-active biophysical i nml:Cell_497230567.cell.nml Sst-IRES-Cre;Ai14-173191.06.02.01_491119812_m aibs_perisomatic
114 497230547_all-active biophysical i nml:Cell_497230547.cell.nml Sst-IRES-Cre;Ai14-173196.03.01.01_491770223_m aibs_perisomatic
115 497230511_all-active biophysical i nml:Cell_497230511.cell.nml Htr3a-Cre_491119419_m aibs_perisomatic
116 497230497_all-active biophysical i nml:Cell_497230497.cell.nml Pvalb-IRES-Cre;Ai14-176847.04.02.01_491120133_m aibs_perisomatic
117 497230490_all-active biophysical i nml:Cell_497230490.cell.nml Pvalb-IRES-Cre;Ai14-176848.03.01.01_491119484_m aibs_perisomatic
118 497230463_all-active biophysical i nml:Cell_497230463.cell.nml Pvalb-IRES-Cre;Ai14-178310.02.01.01_513557093_m aibs_perisomatic
119 497233307_all-active biophysical i nml:Cell_497233307.cell.nml Scnn1a-Tg2-Cre;Ai14-176962.05.01.01_495335447_m aibs_perisomatic
120 497233292_all-active biophysical i nml:Cell_497233292.cell.nml Nr5a1-Cre;Ai14-177333.03.01.01_491771090_m aibs_perisomatic
121 497233285_all-active biophysical i nml:Cell_497233285.cell.nml Nr5a1-Cre;Ai14-177334.05.01.01_491459171_m aibs_perisomatic
122 527109578_all-active biophysical i nml:Cell_527109578.cell.nml Nr5a1-Cre;Ai14-177334.05.02.01_527109106_m aibs_perisomatic
123 497233278_all-active biophysical i nml:Cell_497233278.cell.nml Scnn1a-Tg3-Cre;Ai14-177300.01.02.01_491771068_m aibs_perisomatic
124 497233271_all-active biophysical i nml:Cell_497233271.cell.nml Pvalb-IRES-Cre;Ai14-177452.03.02.01_491119336_m aibs_perisomatic
125 497233264_all-active biophysical i nml:Cell_497233264.cell.nml Gad2-IRES-Cre;Ai14-177637.02.02.01_491771124_m aibs_perisomatic
126 497233244_all-active biophysical i nml:Cell_497233244.cell.nml Nr5a1-Cre;Ai14-178521.04.02.01_492100683_m aibs_perisomatic
127 497233230_all-active biophysical i nml:Cell_497233230.cell.nml Htr3a-Cre_491120333_m aibs_perisomatic
128 497233223_all-active biophysical i nml:Cell_497233223.cell.nml Sst-IRES-Cre;Ai14-165865.03.01.01_491119181_m aibs_perisomatic
129 497233216_all-active biophysical i nml:Cell_497233216.cell.nml Sst-IRES-Cre;Ai14-165865.05.02.01_491119537_m aibs_perisomatic
130 497233162_all-active biophysical i nml:Cell_497233162.cell.nml Sst-IRES-Cre;Ai14-179870.04.01.01_491120344_m aibs_perisomatic
131 497233139_all-active biophysical i nml:Cell_497233139.cell.nml Scnn1a-Tg3-Cre;Ai14-177297.05.02.01_495335458_m aibs_perisomatic
132 497233125_all-active biophysical i nml:Cell_497233125.cell.nml Scnn1a-Tg3-Cre;Ai14-177297.06.01.01_491120155_m aibs_perisomatic
133 497233117_all-active biophysical i nml:Cell_497233117.cell.nml Pvalb-IRES-Cre;Ai14-177452.03.01.01_491120251_m aibs_perisomatic
134 497233110_all-active biophysical i nml:Cell_497233110.cell.nml Htr3a-Cre_491120305_m aibs_perisomatic
135 497233089_all-active biophysical i nml:Cell_497233089.cell.nml Pvalb-IRES-Cre;Ai14-172096.04.02.01_491119732_m aibs_perisomatic
136 497233075_all-active biophysical i nml:Cell_497233075.cell.nml Pvalb-IRES-Cre;Ai14-180633.05.01.01_491119234_m aibs_perisomatic
137 497233068_all-active biophysical i nml:Cell_497233068.cell.nml Pvalb-IRES-Cre;Ai14-180633.04.01.01_491771159_m aibs_perisomatic
138 497233061_all-active biophysical i nml:Cell_497233061.cell.nml Pvalb-IRES-Cre;Ai14-180634.04.01.01_495335480_m aibs_perisomatic
139 497233049_all-active biophysical i nml:Cell_497233049.cell.nml Rbp4-Cre_495335491_m aibs_perisomatic
140 497232985_all-active biophysical i nml:Cell_497232985.cell.nml Rorb-IRES2-Cre-D;Ai14-181710.05.02.01_491771275_m aibs_perisomatic
141 497232978_all-active biophysical i nml:Cell_497232978.cell.nml Sst-IRES-Cre;Ai14-182533.03.01.01_491770708_m aibs_perisomatic
