node_type_id model_template morphology ei model_type model_processing model_name
100 nml:Cell_497229152.cell.nml Sst-IRES-Cre;Ai14-167638.05.02.01_501934125_m i biophysical aibs_perisomatic 497229152_all-active
101 nml:Cell_497229145.cell.nml Sst-IRES-Cre;Ai14-167636.04.01.01_491119515_m i biophysical aibs_perisomatic 497229145_all-active
102 nml:Cell_497229138.cell.nml Rorb-IRES2-Cre-D;Ai14-168052.03.02.01_491770140_m i biophysical aibs_perisomatic 497229138_all-active
103 nml:Cell_497229124.cell.nml Rorb-IRES2-Cre-D;Ai14-168053.06.01.01_495334938_m i biophysical aibs_perisomatic 497229124_all-active
104 nml:Cell_497229117.cell.nml Scnn1a-Tg3-Cre;Ai14-168093.03.02.01_491119592_m i biophysical aibs_perisomatic 497229117_all-active
105 nml:Cell_497229103.cell.nml Pvalb-IRES-Cre;Ai14-169125.03.01.01_491119617_m i biophysical aibs_perisomatic 497229103_all-active
106 nml:Cell_497229089.cell.nml Nr5a1-Cre;Ai14-169250.03.02.01_491119754_m i biophysical aibs_perisomatic 497229089_all-active
107 nml:Cell_497229082.cell.nml Scnn1a-Tg3-Cre;Ai14-170426.03.01.01_491392845_m i biophysical aibs_perisomatic 497229082_all-active
108 nml:Cell_497229075.cell.nml Scnn1a-Tg2-Cre;Ai14-171062.06.02.01_491119500_m i biophysical aibs_perisomatic 497229075_all-active
109 nml:Cell_497229061.cell.nml Nr5a1-Cre;Ai14-172512.05.01.01_495334973_m i biophysical aibs_perisomatic 497229061_all-active
110 nml:Cell_497229054.cell.nml Nr5a1-Cre;Ai14-172512.06.02.01_491120144_m i biophysical aibs_perisomatic 497229054_all-active
111 nml:Cell_497230620.cell.nml Gad2-IRES-Cre;Ai14-172679.05.01.01_491119788_m i biophysical aibs_perisomatic 497230620_all-active
112 nml:Cell_497230611.cell.nml Scnn1a-Tg3-Cre;Ai14-172530.03.01.01_491771137_m i biophysical aibs_perisomatic 497230611_all-active
113 nml:Cell_497230567.cell.nml Sst-IRES-Cre;Ai14-173191.06.02.01_491119812_m i biophysical aibs_perisomatic 497230567_all-active
114 nml:Cell_497230547.cell.nml Sst-IRES-Cre;Ai14-173196.03.01.01_491770223_m i biophysical aibs_perisomatic 497230547_all-active
115 nml:Cell_497230511.cell.nml Htr3a-Cre_491119419_m i biophysical aibs_perisomatic 497230511_all-active
116 nml:Cell_497230497.cell.nml Pvalb-IRES-Cre;Ai14-176847.04.02.01_491120133_m i biophysical aibs_perisomatic 497230497_all-active
117 nml:Cell_497230490.cell.nml Pvalb-IRES-Cre;Ai14-176848.03.01.01_491119484_m i biophysical aibs_perisomatic 497230490_all-active
118 nml:Cell_497230463.cell.nml Pvalb-IRES-Cre;Ai14-178310.02.01.01_513557093_m i biophysical aibs_perisomatic 497230463_all-active
119 nml:Cell_497233307.cell.nml Scnn1a-Tg2-Cre;Ai14-176962.05.01.01_495335447_m i biophysical aibs_perisomatic 497233307_all-active
120 nml:Cell_497233292.cell.nml Nr5a1-Cre;Ai14-177333.03.01.01_491771090_m i biophysical aibs_perisomatic 497233292_all-active
121 nml:Cell_497233285.cell.nml Nr5a1-Cre;Ai14-177334.05.01.01_491459171_m i biophysical aibs_perisomatic 497233285_all-active
122 nml:Cell_527109578.cell.nml Nr5a1-Cre;Ai14-177334.05.02.01_527109106_m i biophysical aibs_perisomatic 527109578_all-active
123 nml:Cell_497233278.cell.nml Scnn1a-Tg3-Cre;Ai14-177300.01.02.01_491771068_m i biophysical aibs_perisomatic 497233278_all-active
124 nml:Cell_497233271.cell.nml Pvalb-IRES-Cre;Ai14-177452.03.02.01_491119336_m i biophysical aibs_perisomatic 497233271_all-active
125 nml:Cell_497233264.cell.nml Gad2-IRES-Cre;Ai14-177637.02.02.01_491771124_m i biophysical aibs_perisomatic 497233264_all-active
126 nml:Cell_497233244.cell.nml Nr5a1-Cre;Ai14-178521.04.02.01_492100683_m i biophysical aibs_perisomatic 497233244_all-active
127 nml:Cell_497233230.cell.nml Htr3a-Cre_491120333_m i biophysical aibs_perisomatic 497233230_all-active
128 nml:Cell_497233223.cell.nml Sst-IRES-Cre;Ai14-165865.03.01.01_491119181_m i biophysical aibs_perisomatic 497233223_all-active
129 nml:Cell_497233216.cell.nml Sst-IRES-Cre;Ai14-165865.05.02.01_491119537_m i biophysical aibs_perisomatic 497233216_all-active
130 nml:Cell_497233162.cell.nml Sst-IRES-Cre;Ai14-179870.04.01.01_491120344_m i biophysical aibs_perisomatic 497233162_all-active
131 nml:Cell_497233139.cell.nml Scnn1a-Tg3-Cre;Ai14-177297.05.02.01_495335458_m i biophysical aibs_perisomatic 497233139_all-active
132 nml:Cell_497233125.cell.nml Scnn1a-Tg3-Cre;Ai14-177297.06.01.01_491120155_m i biophysical aibs_perisomatic 497233125_all-active
133 nml:Cell_497233117.cell.nml Pvalb-IRES-Cre;Ai14-177452.03.01.01_491120251_m i biophysical aibs_perisomatic 497233117_all-active
134 nml:Cell_497233110.cell.nml Htr3a-Cre_491120305_m i biophysical aibs_perisomatic 497233110_all-active
135 nml:Cell_497233089.cell.nml Pvalb-IRES-Cre;Ai14-172096.04.02.01_491119732_m i biophysical aibs_perisomatic 497233089_all-active
136 nml:Cell_497233075.cell.nml Pvalb-IRES-Cre;Ai14-180633.05.01.01_491119234_m i biophysical aibs_perisomatic 497233075_all-active
137 nml:Cell_497233068.cell.nml Pvalb-IRES-Cre;Ai14-180633.04.01.01_491771159_m i biophysical aibs_perisomatic 497233068_all-active
138 nml:Cell_497233061.cell.nml Pvalb-IRES-Cre;Ai14-180634.04.01.01_495335480_m i biophysical aibs_perisomatic 497233061_all-active
139 nml:Cell_497233049.cell.nml Rbp4-Cre_495335491_m i biophysical aibs_perisomatic 497233049_all-active
140 nml:Cell_497232985.cell.nml Rorb-IRES2-Cre-D;Ai14-181710.05.02.01_491771275_m i biophysical aibs_perisomatic 497232985_all-active
141 nml:Cell_497232978.cell.nml Sst-IRES-Cre;Ai14-182533.03.01.01_491770708_m i biophysical aibs_perisomatic 497232978_all-active
142 nml:Cell_497232946.cell.nml Rorb-IRES2-Cre-D;Ai14-181715.04.01.01_491392833_m i biophysical aibs_perisomatic 497232946_all-active
143 nml:Cell_497232939.cell.nml Htr3a-Cre_492100793_m i biophysical aibs_perisomatic 497232939_all-active
144 nml:Cell_497232932.cell.nml Htr3a-Cre_491119305_m i biophysical aibs_perisomatic 497232932_all-active
145 nml:Cell_497232925.cell.nml Htr3a-Cre_491120373_m i biophysical aibs_perisomatic 497232925_all-active
146 nml:Cell_497232918.cell.nml Sst-IRES-Cre;Ai14-183332.05.01.01_491771290_m i biophysical aibs_perisomatic 497232918_all-active
147 nml:Cell_497232911.cell.nml Sst-IRES-Cre;Ai14-183332.06.02.01_495889919_m i biophysical aibs_perisomatic 497232911_all-active
148 nml:Cell_497232880.cell.nml Htr3a-Cre_492100857_m i biophysical aibs_perisomatic 497232880_all-active
